videoId,title,author,viewCount,likes,dislikes,tags,lengthSeconds,IsEducational
kUr_gdKQ8j4,Anand spent 1:43 mins on 4th move in world blitz semi-final ?!,GJ_Chess,3507648,24327.0,806.0,"Vishwanath Anand,Anand Blitz,Anand funny,Anand Immortal,Funny Chess videos,Funny Chess player video,Funny Chess GM video,Chess,Chess Documentary,Chess Movie,Chess opening,Chess Middle Game,Chess End game,GM,WGM,IM,FM,Jaenisch Variation (C42)",452.0,0.0
h0e2HAPTGF4,11. Introduction to Machine Learning,MIT OpenCourseWare,461075,5252.0,135.0,"machine learning,classification method,Minkowski metric,supervised learning,computer modelling,signal-to-noise,feature vectors,classification model,regression model",3091.0,1.0
0hVuCWfyHP4,5 CREEPIEST Things Done By Artificial Intelligence Robots...,Top 5 Unknowns,2334483,20613.0,4048.0,"top 5,a.i. robot interview,a.i. robot sophia,a.i. robot,robot creepy,artifical intellegience,creepy robot voice,a.i. robots shut down after creating their own language,creepy robot face,creepy humanoid robot,sophia robot citizen,sophia robot creepy,artificial intelligence robot,elon musk,scary predictions for the future,mysterious,mysterious things,mystery,unsolved mystery",682.0,0.0
QHydkEARVKE,Bobby Fischer's 21-move brilliancy,ChessNetwork,6709248,82154.0,7514.0,"bobby fischer,robert james fischer,robert fischer,bobby fischer vs robert byrne,fischer vs byrne,byrne vs fischer 1963,1963 us chess championship,1964 us chess championship,chess,chessnetwork,chess network",1182.0,0.0
nKW8Ndu7Mjw,The 7 Steps of Machine Learning (AI Adventures),Google Cloud Platform,1245983,19641.0,523.0,"Machine Learning,TensorFlow,Big Data,Cloud,Artificial intelligence,AI,ML,Prediction,Data Preprocessing,big data processing,Ai adventures,devops,google cloud platform,google cloud,cloud,cloud platform,cloud data,cloud services,google cloud services,product: cloud,fullname: Yufeng Guo,Location: MTV,Team: Scalable Advocacy,Type: DevByte,GDS: Full Production,Other: NoGreenScreen",636.0,1.0
BR9h47Jtqyw,A friendly introduction to Deep Learning and Neural Networks,Luis Serrano,402669,7421.0,167.0,"machine learning,deep learning,neural networks,artificial intelligence,logistic regression,probability,math,computer science,statistics",2000.0,1.0
w82a1FT5o88,How to Start a Speech,Conor Neill,7434941,49707.0,3821.0,"how to start a speech,how to start a speech in english,how to speech,Start a Speech,how to start a speech conor neill,good speech,conor neill speech,conor neill,public speaking training,conor neill videos,mastering public speech,Inspiration,Leadership,Speech,public speaking,IESE Business School,Training,Influence,Persuasion,Development,grabber,presentation skills,communication skills,Speaker,leadership styles,Motivation,attention",527.0,0.0
pvf0zSh3rDo,Top 5 programming language in 2019 with Learning Paths,Hitesh Choudhary,331176,9072.0,361.0,"Programming,LearnCodeOnline,Top 5 programming language 2019,Top 5,Top list,programming,php,swift,java,javascript,python,top programming language",1403.0,
MfF750YVDxM,What is Hadoop?: SQL Comparison,Intricity101,381396,3170.0,82.0,"Unstructured Data,reducer,sql,mapreduce,HIVE,big data,namenode,intricity101,intricity.com,HDFS,Apache Hadoop (Software),cluster,hadoop,schema on write,Hadoop vs SQL,schema on read",374.0,1.0
OoEpfb6yga8,Basic Introduction to Apache Hadoop,Hortonworks,173890,1435.0,30.0,"apache hadoop,namenode,jobtracker,hadoop ecosystem,hadoop,big data,hortonworks,Owen O'Malley,MapReduce,Hadoop Security,HDFS,Ambari,Hadoop Cluster,Datanode,Apache Pig,Hive,HBase,HCatalog,Zookeeper,Mahout,Oozie,Sqoop,Flume,Palo Alto CA,Open Soource",840.0,1.0
e8QY0NDWqzk,The Most Successful People Explain Why a College Degree is USELESS,Motivation Madness,4590955,87049.0,5248.0,"motivation madness,success motivation,billionaires,college degree,education,college,university,warren buffet,tony robbins,donald trump,advice from the most successful people on the planet,motivational speech,motivational video,motivational video 2017,absolutemotivation,be inspired,college degree wothless,graduation,student motivation,student motivation 2017,student motivation video for success,keep going,best motivational video 2017,job motivation,unemployed",686.0,0.0
EtJy69cEOtQ,How to Learn Anything... Fast - Josh Kaufman,The RSA,2687284,41429.0,1814.0,"Learn fast,Learning,Josh Kaufman,Julian Thompson,RSA,The RSA,20 hours,education,Lesson,School,Teacher",1400.0,1.0
rmf04ylI2K0,Kubernetes for Beginners - Docker Introduction,Mumshad Mannambeth,101757,1678.0,53.0,"kubernetes,docker,udemy,course,tutorial,beginners",843.0,1.0
XZmGGAbHqa0,Inside a Google data center,G Suite,11723619,97561.0,4232.0,"Google,data center,cloud security,sustainable technology",328.0,0.0
QxuibIaQmsw,Lost Ancient High Technology Of Egypt Full Lecture,Brien Foerster,373266,3641.0,311.0,"Egypt,ancient Egypt,Cairo,pyramid,pyramids,Giza,Giza plateau,Great Pyramid",2861.0,
uAWWhEA57bE,IQ15:  6 SQL Query Interview Questions,The Coding Interview,760282,12250.0,492.0,"sql,sql server,query,sql query,questions,interview questions,coding interview,sql coding,code,database,interview questions and answers,interview questions sql,interview questions sql server,sql interview,interview sql,interview question sql join,inner join,group by,select sql,interview questions sql basic",1214.0,1.0
4DgTLaFNQq0,What Is Hadoop?,Mike Gualtieri,264490,1692.0,28.0,"Hadoop,Big Data,Forrester,Mike Gualtieri,Apache Hadoop (Software),TechnoPolitics,Software (Industry)",396.0,1.0
YFl2mCHdv24,Learn Docker in 12 Minutes 🐳,Jake Wright,873072,21111.0,187.0,"jake,wright,computer,science,web,internet,docker,container,image,php,docker hub,howto,how to,tutorial,from scratch,beginners,explained,what is,build,learn,mac,windows,dockerfile,apache,process,virtual machine,dev environment,vagrant",721.0,1.0
dspdToaROn8,DQ vs MDM,Intricity101,52366,228.0,7.0,"What is MDM,Data Quality vs MDM,What is Data Quality?,Data Quality vs Master Data Management,DQ vs Master Data Management,intricity101,DQ vs MDM,Compare DQ,Compare MDM,What is DQ,Compare Data Quality,What is Master Data Management?",375.0,1.0
FHVuRxJpiwI,What is Big Data and Hadoop?,Learning Tree International,956374,2890.0,112.0,"Apache Hadoop (Software),Software (Industry),big data,hadoop training,Oracle Database (Software),SQL (Programming Language),MapReduce (Software),big data training,Data (Dimension)",485.0,1.0
bcjSe0xCHbE,Learn MapReduce with Playing Cards,Jesse Anderson,247373,2041.0,79.0,"MapReduce (Software),Playing Card (Fictional Object),Apache Hadoop (Software)",584.0,1.0
9s-vSeWej1U,What is Hadoop?,Intricity101,531797,1927.0,131.0,"Hadoop,What is Hadoop,Apache Hadoop (Software),Map Reduce,intricity101",187.0,1.0
1z0ULvg_pW8,"Hub, Switch, & Router Explained - What's the difference?",PowerCert Animated Videos,1028892,15045.0,289.0,"How a router works,difference between hub switch and router,difference between switch and router,hub switch or router network devices explained,hub switch router,hub switch and router,how routers work,switch vs router,what is switch,what is hub",442.0,1.0
BgQFJ_UNIgw,What is NoSQL?,Intricity101,105214,880.0,32.0,"Big Data,Neo4j,NoSQL,Cassandra,Couchbase,Intricity101,CouchDB,intricity101,MongoDB,What is NoSQL,database",336.0,1.0
2-Ol7ZB0MmU,A friendly introduction to Convolutional Neural Networks and Image Recognition,Luis Serrano,249955,6428.0,88.0,"machine learning,neural networks,multilayer perceptrons,convolutional neural networks,computer vision,image recognition,artificial intelligence,deep learning",1928.0,1.0
711VklH-4fA,10 Times Michio Kaku Blew Our Minds,ScienceToday,3922732,,,"Michio Kaku,Arguments,science,sciencetoday",1283.0,
d4EgbgTm0Bg,"What are quaternions, and how do you visualize them?  A story of four dimensions.",3Blue1Brown,600414,23589.0,177.0,"Mathematics,three blue one brown,3 blue 1 brown,3b1b,3brown1blue,3 brown 1 blue,three brown one blue",1911.0,1.0
yuD34tEpRFw,Time Dilation - Einstein's Theory Of Relativity Explained!,Science ABC,1418032,18641.0,687.0,"Time Dilation,Theory of Relativity,Einstein,General Relativity,special relativity",495.0,1.0
wCrtk-pyP0I,How Microwaving Grapes Makes Plasma,Veritasium,1657954,66834.0,1133.0,"veritasium,science,physics,microwave,grape,plasma,spark,microwaving,explanation,explained,how,index of refraction,resonance,standing waves,electromagnetic radiation,wavelength,experiment,grapes,glowing,glow,light,absorption,hydrogel,sparks,size",496.0,1.0
AD3K8j12EIE,Neural Differential Equations,Siraj Raval,66723,3231.0,110.0,"neural network,deep learning,siraj raval,neurips,programming,python,coding,education,tutorial,math,mathematics,calculus,linear algebra,matrix,matrix operation,derivative,integral,physics,euler,reinforcement learning,data science,artificial intelligence,ai,neural net,machine learning,computer science",2118.0,1.0
kqSzLo9fenk,A friendly introduction to Bayes Theorem and Hidden Markov Models,Luis Serrano,84863,2539.0,23.0,"machine learning,probability,markov model,bayes theorem,hidden markov model,data science,mathematics",1966.0,1.0
aDW44NPhNw0,Machine Learning: Testing and Error Metrics,Luis Serrano,38198,814.0,8.0,"machine learning,artificial intelligence,testing,training,data science,models,overfitting,underfitting,cross validation",2683.0,1.0
qWcfiPi9gUU,AlphaGo & Deep Learning - Computerphile,Computerphile,292248,4208.0,336.0,"computers,computerphile,computer science,science,go,alphago,alpha go,deep mind,google deepmind,deep learning,machine learning",666.0,
FTr3n7uBIuE,Convolutional Neural Networks - The Math of Intelligence (Week 4),Siraj Raval,201209,4874.0,155.0,"convolution neural network,cnn mathematics,convolutional neural network backpropagation,convolutional network,convolutional neural network tutorial,convolutional neural networks,convolutional neural network tutorial youtube,convolutional neural network python,convolutional neural network tutorial python,convolutional neural network,cnn machine learning,convolutional neural network explained,convolutional neural network tutorial tensorflow,cnn machine learning tutorial",2764.0,1.0
TnUYcTuZJpM,Google's Deep Mind Explained! - Self Learning A.I.,ColdFusion,3025258,59328.0,1755.0,"Coldfusion,TV,Dagogo,Altraide,Technology,Apple,Google,Samsung,Facebook,Tesla,Deepmind,Artificial intelligence,AI,Demis,Hassabis",825.0,0.0
trWrEWfhTVg,Le deep learning — Science étonnante #27,ScienceEtonnante,795556,21117.0,174.0,"intelligence artificielle,deep learning,réseaux de neurone,Yann Le Cun,reconnaissance d'images",1207.0,
IpGxLWOIZy4,A Friendly Introduction to Machine Learning,Luis Serrano,656695,10217.0,165.0,"machine learning,data science,math,statistics,probability,programming,data,artificial intelligence,mathematics,linear regression,logistic regression,neural network,decision tree,naive bayes,support vector machines,clustering,supervised machine learning,unsupervised machine learning",1853.0,1.0
0JDoll8OEFE,Why China Is so Good at Building Railways,Wendover Productions,3040745,51180.0,3751.0,"china,train,railway,railways,trains,rail,high speed rail,bullet train,track,service,transport,network,transportation,stations,china railway corporation,high speed,global,explainer,explained,educational,animated,wendover,productions,half as interesting",733.0,0.0
liJbB_0eCTo,Elon Musk: How To Achieve 10x More Than Your Peers,Charisma on Command,2518743,64284.0,2115.0,"elon musk,spacex,tesla,elon musk interview,sxsw,falcon,launch,elon,charisma on command,charismaoncommand,charisma,analysis,self help,how to,how to achieve,advice,confidence,success,improvement,productive,steve jobs",810.0,0.0
lfo8XHGFAIQ,Can We Terraform the Sahara to Stop Climate Change?,Real Engineering,1414349,42603.0,5093.0,"engineering,science,technology,education,history,real,climate change,geoengineering,geo-engineering,solve,stop,terraform,sahara,africa,trees,carbon capture",768.0,0.0
G7oolm0jU8I,Plain and Simple Estimators (AI Adventures),Google Cloud Platform,96660,1241.0,21.0,"Machine Learning,TensorFlow,Big Data,Cloud,Artificial intelligence,AI,ML,machine learning with gcp,gcp machine learning,cloud and machine learning,ai adventures,training,estimators,classification,linear classifier,machine learning models,product: cloud,fullname: Yufeng Guo,Location: MTV,Team: Scalable Advocacy,Type: DevByte,GDS: Full Production,Other: NoGreenScreen",347.0,1.0
63NTeLmDANo,What is machine learning and how to learn it ?,Hitesh Choudhary,752297,13203.0,995.0,"Programming,computers,code,hacking,information,Security,iOS,iPhone,udemy,online-courses,coupons,free-coupons,udemy-coupons,udemy-courses,android,iphone,reactjs,web-development,machine learning,machine,tensorflow,scikit,data mining",729.0,1.0
kJzSzGbfc0k,What Is A Paradox?,Vsauce2,4778359,131234.0,5554.0,"vsauce,vsauce2,vsause,vsause2,What Is A Paradox,Paradox Definition,Paradox,Paradox Explained,Paradox Explaination,Types Of Paradoxes,Paradoxes,The Grandfather Paradox,Achilles and the Tortoise,Veridical Paradox,Falsidical Paradox,Antinomy,Monty Hall Problem,Monty Hall Paradox,Faint Young Sun Paradox,vsauce paradox,paradox vsauce,mind blow,vsauce 2,paradoxes in physics",872.0,1.0
XKu_SEDAykw,How to: Work at Google — Example Coding/Engineering Interview,Life at Google,3684132,47653.0,4106.0,"google,life at google,google jobs",1442.0,0.0
5F28PzoeDn4,Exploring Sophia’s multiple intelligences,RISE Conf,64702,580.0,51.0,"rise conf,rise conference,rise conference 2018,rise conference hong kong,sophia the robot,sophia the robot 2018,sophia the robot and her creator,sophia the robot hanson,sophia the robot latest,sophia the robot now,sophia the robot speech,sophia the robot singing,sophia the robot speaking,sophia the robot voice,sophia the robot youtube,Hanson Robotics,David Hanson,SingularityNET,Ben Goertzel",1537.0,0.0
SAsWFgpvYhA,These Ancient Relics Are So Advanced They Shouldn't Exist...,Thoughty2,9080821,115891.0,13084.0,"relics,ancient relics,antiquity,voynich manuscript,antikythera mechansim,lost relics",848.0,0.0
t6rHHnABoT8,Astronaut Chris Hadfield Debunks Space Myths | WIRED,WIRED,12222294,342584.0,8660.0,"space,space myths,chris hadfield,space facts,chris hadfield nasa,nasa,csa,nasa astronaut,csa astronaut,international space station,iss,living on the iss,sound in space,space sound,space smell,space info,living in space,outerspace,outer space,stratosphere,gravity,zero g,zerog,zero gravity,light speed,space myth,space trivia,chris hadfield astronaut,astronaut,astronaut space,wired",693.0,0.0
3FxdPlqTVXw,Famous Mansions No One Wants To Buy For Any Price,BE AMAZED,3969349,29723.0,3759.0,"beamazed,be amazed,top 10,mansions,nobody wants to buy,at any price,famous mansions,huge buildings,amazing buildings,houses,amazing houses,best houses,for any price,house,mansion,facts,New York,Party Penthouse,people,beautiful Victorian mansion,SK Pierce Mansion,Schweppe Mansion,Charming Forge Mansion,city,bedrooms,home,price,insane,interesting,homes,blow your mind,10 most,expensive,biggest log cabin,haunted houses,space,family",678.0,0.0
c8_BIamLESg,Improve Your Speaking,Conor Neill,969890,6635.0,180.0,"communication,public speaking,MBA,Business,Coach,Coaching,Training,Development,Speak as a Leader,Speaker,Speaker (politics),Success,CEO,IESE,Business School,Motivation,Rhetoric,Leadership",390.0,
rojft7g2BSI,JACK MA: You Need To Hear This (INCREDIBLE SPEECH!),Law of Attraction Coaching,1070091,9734.0,597.0,"jack ma,you need to hear this,jack ma speech,jack ma success,jack ma motivation,best speech,best speeches,motivation,incredible speech,motivational video,Morning Motivation,very motivational,change your life,jack ma 2018,jack ma interview,self discipline,entrepreneur motivation,inspirational video,motivation video",2395.0,0.0
E39GIysMevQ,What's the Deepest Hole We Can Possibly Dig?,RealLifeLore,29178855,277697.0,23463.0,"real life lore,real life lore maps,real life lore geography,real life maps,world map,world map is wrong,world map with countries,world map real size,map of the world,world geography,geography,geography (field of study),facts you didn’t know,deep hole,deepest hole,world's deepest hole,deepest hole in the world,hole,big hole,kola borehole,deepest holes,inside the earth,what's inside the earth,underground,geology,how deep can we dig",491.0,0.0
-Yh2QGJBd2U,15 Strange Images Found on Mars,American Eye,711200,3411.0,713.0,"strange,images,found,mars,weird,bizarre,odd,unusual,amazing,incredible,pictures,photos,pics,captured,caught,camera,space,mystery,mysterious,NASA,conspiracy,aliens,curiosity,bacteria,fossil,shocking,ancient aliens,face,structure,rock,formation,planet,water,reptilian,ufo,sighting,pyramid,crab,statue,evidence,unexplained,objects,surface,Most Mysterious Photos From Mars,Ancient Aliens On Mars,A Strange Woman Walking On Mars",498.0,0.0
TRzBk_KuIaM,The Real Reason to be Afraid of Artificial Intelligence | Peter Haas | TEDxDirigo,TEDx Talks,1090544,14141.0,1379.0,"TEDxTalks,English,Technology,Big Data,Coding,Impact,Software",758.0,0.0
ssdyoPpDEys,The Great Pyramid Mystery Has Finally Been Solved,Top 10s,1203340,7664.0,2460.0,"great pyramid of giza,great pyramid mystery,facts about great pyramid,mysterious videos,interesting videos,facts about Earth,great pyramid theories,great pyramid of giza inside,great pyramid of giza secrets,great pyramid of giza for kids,great pyramid of giza facts,top 10s,top 10",404.0,0.0
I1hFKCFT8bQ,Pawn Stars Just Hit The Jackpot From This $1 Purchase,TheScreeny,2141305,7000.0,3080.0,"pawn stars,pawn stars episodes,pawn stars full episode,pawn stars most expensive item bought,pawn stars biggest offer,pawn stars offers,pawn stars purchases,pawn stars deals,pawn stars biggest deals,10 most profitable pawn star deals,rick harrison,chumlee,the old man,review,ending,top 10,top 5,countdown,viral,new,education,entertainment,kid friendly,family friendly,thescreeny,the screeny",709.0,0.0
ZPw9dSV6y2c,How I Made an Ant Think It Was Dead—The Zombie Ant Experiment,The Action Lab,14588007,192151.0,16880.0,"zombie ants,worst sting,ant nest,ant habitat,coyote peterson,queen ant,ant colony,the action lab,fly in vacuum chamber,bullet ant,fire ants,painful sting,fire,ant,colony,nest,hill,solenopsis,cast,molten,aluminum,anthill,anthillart,anthill art,ant hill art,casting,science (tv network),outrageous acts of science,will it bite,vacuum chamber,blackest black,colerless strawberry,harverster ant,hydraulic press,self-pouring,DIY,science for kids",464.0,
78-1MlkxyqI,We Talked To Sophia — The AI Robot That Once Said It Would 'Destroy Humans',Tech Insider,4419994,50827.0,3133.0,"Tech Insider,TI,Tech,Science,Innovation,Digital culture,Design,Technology,Sophia The robot,Sophia AI,Artificial intellegence,Hanson Robotics,robot,robotics,sophia the robot citizen,robot citizen,Saudi Arabia,AI,Cloud computing,machine learning,steve kovach,business insider,social humanoid,David Hanson,Computer,computer programming",219.0,0.0
_4ruHJFsb4g,What Does a 4D Ball Look Like in Real Life? Amazing Experiment Shows Spherical Version of Tesseract,The Action Lab,8478760,136121.0,43772.0,"flatland,undrstanding 4D,tesseract,the action lab,life in 2D,action lab,virtual reality,fourth dimension,tesseract irl,irl,in real life,higher dimensions,string theory,drawing on water,2d drawing,4th dimension,4 dimensions,vacuum chamber,venus fly trap,iron man,hydraulic press,foil ball,stretch armstrong,science experiment,iron man suit,brightest flashlight,blackest black,black 2.0,how to,zombie ant,vac man,life hacks,home science",472.0,0.0
R0bVxbRCd-U,We Interviewed The AI Robot That's Now A Citizen Of Saudi Arabia,Tech Insider,691045,3874.0,394.0,"Technology,Robot,Artificial intelligence,BI,Sophia,Robotics,Video,AI,Science,Business,Original,Europe,Insider,UK",179.0,0.0
j6B-HYsvkvo,Amazing Electron Microscope Images Part 2,ARIKEN777,1936963,33533.0,2237.0,Scanning Electron Microscope Entertainment Education Fun Science People SEM Kids Children Awesome,843.0,0.0
MTY1Kje0yLg,Gravity Visualized,apbiolghs,56441199,501283.0,35153.0,"space,time,warping",598.0,0.0
mV_Z3Zx0xIs,10 Things Back to the Future 2 Got Right,China Uncensored,4086258,30960.0,5049.0,"back to future,back to the future 2,china uncensored,future things,things back to the future got right,time travel,back to the future 2015,back to future 2,october 21,prediction,marty,delorean,hoverboard,flying cars,Science Fiction Movies,Past,list,top 10,back to the future,michael j fox,bob gale,science fiction,edge of wonder,time traveler,mysterious,paranormal stories,2028,technology,time machine,doc brown,supernatural,chris chappell,sci-fi fantasy",316.0,0.0
P4Rzd21U-1c,Top 10 Biggest Tech Flops,WatchMojo.com,2591162,16930.0,1835.0,"history,technology,business,tech,tech flops,tech fails,failed products,sinclair c5,joojoo,palm foleo,betamax,apple maps,fire phone,zune,phillips cdi,blockbuster total access,google glass,top 10,watchmojo",795.0,0.0
bjMqJ--aUJ8,What Would You See If You Fell Into Jupiter?,V101 Science,2370478,57074.0,2700.0,"Jupiter,Falling into,Diving into,what would happen if you fell,Gas giant,Planet,Solar system,Space,Science Fiction,Sci Fi,Science,Saturn,Neptune,Uranus,Earth,Spacecraft,Clouds,Red Spot,Storm,World,Alien,Hell,Falling into a planet,Landing on Jupiter,Whats inside of Jupiter,Whats under Jupiters Clouds,Jupiters Core,vendor 101,Documentry",344.0,
ZZZ7k8cMA-4,"Body language, the power is in the palm of your hands | Allan Pease | TEDxMacquarieUniversity",TEDx Talks,4795988,50145.0,1400.0,"Best,power,hand,language,Allan Pease (Author),Macquarie University (Organization),allan,University,TEDx,inspiring,hands,amazing,13/10/13,Macquarie,best,australia,ted x,funny,tedx talks,Hand,ted,fun,great,talk,ted talks,shake,body,tedx,ted talk,tedx talk,'body language',2103,palm,pease",870.0,
NtxZeDYuEZI,Paul Hogan's awesome speech at the Oscars,hogesnationaltour,3767146,13575.0,583.0,,225.0,0.0
Yl_FJAOcFgQ,How to open and close presentations? - Presentation lesson from Mark Powell,Cambridge University Press ELT,2861111,13803.0,667.0,"presentation skills,Business,presentation-openers,closing-presentations,business-presentations,mark-powell",457.0,1.0
ghMZe9NRAgY,THIS IS WHY ONLY 1% SUCCEED | Try it and You'll See The Difference,Be Inspired,1441343,35147.0,696.0,"ONLY 1% OF PEOPLE ARE WILLING TO DO THIS,Try it for 7 days and you'll see the difference,motivation,be inspired,be inspired jim kwik,jim kwik motivation,1% of people succeed,be inspired channel,will smith be inspired,be inspired will smith,motivational,Try it and You'll See The Difference,THIS IS WHY ONLY 1% SUCCEED",394.0,0.0
R1vskiVDwl4,10 ways to have a better conversation | Celeste Headlee,TED,6177055,135869.0,1995.0,"TED Talk,TED Talks,Celeste Headlee,conversation,listening",705.0,
M624T3PTggU,Game of the Century - Bobby Fischer vs Donald Byrne,thechesswebsite,2776218,22633.0,963.0,"chess,game of the century,bobby fischer,donald byrne",1493.0,0.0
AL1-Xd2HTWU,"14-year-old Bobby Fischer vs Dr. Max Euwe | The ""Unpublished"" Game | 1957",ChessNetwork,210198,2564.0,90.0,"bobby fischer,bobby fischer chess games,max euwe,max euwe chess games,bobby fischer vs max euwe,best chess games,chessnetwork,chess,chess network,bobby fischer vs max euwe 1957,fischer vs euwe exhibition match,open ruy lopez,robert james fischer",1045.0,0.0
kLBDuWvcy7U,"""Because only I can"" - Ronnie O'Sullivan's cocky 146 [BBC]",Arnab Sengupta,9994013,67908.0,2662.0,"ronnie o'sullivan,ronnie,snooker,146,147,maximum,maximum break,break,greatest,arrogance,bbc,welsh,welsh open,2016",453.0,0.0
esmzYhuFnds,12. Clustering,MIT OpenCourseWare,80359,699.0,14.0,"optimization,variability,hiearchical clustering,clustering,cluster analysis,unsupervised learning,objective function,k-means,dendogram",3040.0,1.0
zn1SJOPgewo,Fusion: How to Put the Sun in a Magnetic Bottle - with Ian Chapman,The Royal Institution,385387,4871.0,170.0,"Ri,Royal Institution,fusion,energy,nuclear fusion,fission,sun,power,ian chapman,solar,power of the sun",2100.0,
Y30VF3cSIYQ,The Legend of Question Six - Numberphile,Numberphile,1939659,27673.0,1502.0,"numberphile,math olympics,International Mathematical Olympiad,terry tao,terence tao",525.0,
D1R-jKKp3NA,Steve Jobs Stanford Commencement Speech 2005,JoshuaG,10125310,51246.0,1124.0,"Apple,Macworld,Keynote,Mac,Macintosh,Steve,Jobs,Bill,Gates,Windows,OSX,Computer,ipod,imac,ibook,power",874.0,0.0
mbDipVRt5aE,Overcoming Nerves When Giving a Presentation,Talk Support,415440,2989.0,83.0,"public speaking,presentations,nervousness,Deborah Grayson Riegel,Talk Support,Leadership Coaching,Management Coaching,Presentation Skills Coaching,Communication Skills Coaching,Professional Certified Coach,Communication Keynote Speaker,Executive Coach,Executive Speaker,Executive Author,Communication Coach,Communications Expert,Presentation Expert,Behavior Expert",543.0,1.0
TUSxq7KoTsM,Speak like a Manager: Verbs 1,Learn English with Rebecca [engVid],861547,17174.0,498.0,"business English,verbs,learn vocabulary,call centre English,customer service English,Speak Like a Manager,SLAM English,improve vocabulary,business verbs,professional English,work English,learn English,English class,English,native speaker,ESL,English grammar,vocabulary,English vocabulary,engVid,speak English,expressions,idioms,phrasal verbs,spoken English,IELTS,TOEFL,accent,TOEIC,anglais,inglese,inglés,англи́йский,angielski,engleză,إنجليزي,Angol,TESOL,TEFL",1219.0,1.0
XIXvKKEQQJo,Speaking Up Without Freaking Out  | Matt Abrahams | TEDxPaloAlto,TEDx Talks,160454,3164.0,65.0,"TEDxTalks,English,Life,Behavior,Communication,Speech",825.0,
aDhTeLWJBxI,"4 Snookers?! Ok, No Problem! Incredible Steal of Snooker Frame!!!",Snooker Planet,3166037,11974.0,1126.0,"billiard,billiards,snooker,snooker planet,tactical snooker,snooker frame,marco fu snooker,marco fu,ryan day,interesting snooker,snooker steal,snooker best",1383.0,0.0
4yzaG0Ia_fs,An Instant Classic at the 2018 World Chess Championship | Game 6,ChessNetwork,148996,4135.0,74.0,"instant classic chess,historic chess games,endgame study,magnus carlsen,fabiano caruana,2018 world chess championship,fabiano caruana vs magnus carlsen,caruana vs carlsen 2018,caruana vs carlsen game 6,2018 world chess championship game 6,chess,chessnetwork,chess network,classic chess game",2624.0,0.0
KzG-mJgj-E4,Top 8 Chess Mistakes,thechesswebsite,2402569,20453.0,853.0,"chess mistakes,chess blunders",533.0,0.0
