videoId,title,author,viewCount,likes,dislikes,tags,lengthSeconds,IsEducational
wEbiwj0CY4U,Regole per il Calcolo degli Integrali Definiti (10),Marcello Dario Cerroni,9053,45,3,Integral,814.0,1
CTXcB8w5JQc,Prima lezione di INFORMATICA (prof. Giovanni Gallo),zammù multimedia - Università di Catania,76107,449,26,"Università di Catania,Prime lezioni di,Informatica,ZammùTv,Cof,Capitt",3819.0,1
MFZsxoen5Y0,FINAL BATTLE! Mastered Ultra Instinct Goku vs Jiren! Goku DEFEATED!? Dragon Ball Xenoverse 2!,Legendary Agwang,921256,11904,557,"Dragonball,Xenoverse,GT,Super,AF,Mods,Modding,Tutorial,Tut,Goku,Gohan,Trunks,Vegeta,Frieza,SSGSS,SSJ1,Saiyan",270.0,0
b617FReb9YI,Eros Ramazzotti - Quanto Amore Sei,ErosRamazzottiVEVO,23346433,40988,2718,"Pop,Eros Ramazzotti,Sony,BMG,Music,Entertainment,Quanto Amore Sei",251.0,0
K-HFRtLaxqY,Super Meat Boy any% (wrongwarp) in 0:04:47,VorpalSDA,711752,4860,458,"Super Meat Boy (Video Game),Glitch (Video Game),Speedrun (Website Category)",477.0,0
5q7BSLylhTo,"MacBook Pro 13"" (2017) vs Microsoft Surface Laptop - Full Comparison!",Justin Tse,777800,8595,654,"jtechapple,jtechappletv,apple macbook,apple macbook pro,macbook pro 13,best student laptop,best laptop for school,mac vs pc,microsoft surface laptop,mac os,windows 10,microsoft surface,surface laptop,surface pro,macbook pro 2017,apple macbook pro 2017,2017,speed test,comparison,touch bar,touchbar,microsoft surface laptop vs macbook pro,apple,macbook pro review,microsoft surface laptop review,macbook pro review 2017,performance,video editing,gaming",950.0,0
HibcMLxj55g,Apple WWDC 2018 Keynote in 6 Minutes: YouTuber Edition!,Jonathan Morrison,367393,14255,557,"WWDC Keynote,WWDC,WWDC 2018,WWDC 2018 Keynote,WWDC Recap,Recap,WWDC 2018 Recap,iOS 12,iOS 12 Features,macOS Mojave,macOS Mojave Features,MacBook,MacBook Pro,iPhone X,Apple,ios 12 beta 1,ios 12 released,ios 12 update,apple keynote,macos mojave,apple event june 2018,ios 12 rumors,macos,ios 12 release date,ios 12 beta,ios,iphone,macos 10.14,ios 12 new features",370.0,0
J2z5uzqxJNU,Dividing by zero?,Eddie Woo,2379230,60045,1820,"math,maths,mathematics,Division By Zero",549.0,1
DWKe6i-ia9c,Significato Geometrico degli Integrali ed Area tra due Curve,Elia Bombardelli,125782,2055,21,"integrali,area,integrali area,area tra due funzioni,analisi,calcolo area,integrali definiti,area grafico funzione,integrale,significato geometrico,grafico,sottografico,asse,sottesa,funzione,area sottesa al grafico,integrazione,definiti,definito,integrale definito,tablet pc,wacom,hp,video,lezioni,matematica,lessthan3math",899.0,1
LGW12hBxUbs,Best Mods of the Week (+ New Stage) - Dragon Ball FighterZ,BjornTheBear,248969,3372,187,"dragon ball fighterz,db fighterz,fighterz mods,dragon ball super,goku,jiren,vegeta,new dragon ball movie 2018",226.0,0
7rULs35adVA,Presentazione del corso BIG DATA E BASI DI DATI AZIENDALI,Università Telematica Internazionale UNINETTUNO,681,3,0,"Big Data,Basi di Dati,Aziendali,Giovanni Alfredo Barbieri,Uninettuno,UTIU",417.0,1
C6dpQWnRII0,Eros Ramazzotti - Se bastasse una canzone (Videoclip),ErosRamazzottiVEVO,23083822,55851,2638,"Eros Ramazzotti,Pop,Se bastasse una canzone,Sony BMG Music Entertainment",264.0,0
74Tw4sm34LQ,[Former Record] Cuphead - Any% in 24:58,The Mexican Runner,1079264,14917,919,"twitch,games,Cuphead,TMR,Complete,Beaten,TheMexicanRunner,NESMania,NES,Speedrun,SRL,Speed,Demos,Runs,Live,Nintendo,Let's Play,Super,Twitch,justin.tv,TMB,World Record,Rage Combo,Rage,Combo,Nintendomania,Games,Juegos,Runner,The,Mexican,Q*Bert,Qbert,Playthrough,Walktrough,Stream,Streamer,Impossible,Legit,Any%",1781.0,0
pEnXNd2z9bo,Unboxing The New $5000 MacBook Pro,Unbox Therapy,3224105,56618,3861,"unbox therapy,unboxtherapy,( ͡° ͜ʖ ͡°),tech,technology,gadgets,gadget,unboxing,review,unbox,therapy,new,youtube,macbook pro,new macbook pro,touch bar,macbook pro touch bar,2016,apple macbook pro,apple,macbook,pro,13,15,15 macbook pro,touch,bar,2016 macbook pro,touchbar,macbook pro 15,2016 macbook pro review,apple inc. (publisher),macbook pro review,macbook pro unboxing,macbook touch bar,space grey macbook pro,2016 macbook pro unboxing,macbook pro 2016",386.0,0
bjUoQbSJDJs,10 Stunning CSS 3D Effect You Must See,Red Stapler,606742,18223,721,"css 3d,css 3d animation,css 3d effect,css 3d text,css 3d button,css 3d cube,cool css effect,cool css design,css design idea,css idea,web design idea,web design inspiration,css3 example,3d css,css animation,css 3d transform animation,css 3d transform",180.0,0
xlBhqDOxolk,UI Beerus vs UI Goku (The Final Battle) - Dragon Ball Xenoverse 2,BjornTheBear,261564,4072,265,"dragon ball xenoverse 2,xenoverse 2,xenoverse 2 mods,dbxv2,dragon ball super,goku,vegeta,jiren,beerus,new dragon ball movie 2018",613.0,0
SnQNrYOvWR4,Top 10 Luck Dependent Speedruns,EZScape,873714,13859,522,"Top,10,Ten,Speedrun,Speedruns,Speedrunning,Speed,Run,SR,Choke,Chokes,WR,Personal,Best,PB,Games,Done,Quick,EZScape,GDQ,Apollo,Legend,of,Zelda,Ocarina,Time,OOT,WWHD,Wind,Waker,HD,Pokemon,Super,Mario,64,Luck,Dependent,Based,RNG,Glitch,Skip,Fail",698.0,0
Zb18eEvBNh0,NEW MacBook Pro TouchBar Review! | iJustine,iJustine,2279913,29613,4543,"ijustine,touch bar,macbook touchbar,macbook touch bar,review,how to use macbook touch bar,macbook,apple macbook touch bar,touch pad,touch key,butterfly keyboard,emoji,touch screen macbook,Apple",617.0,0
knMM9dRwIH4,The Best 2017 iMac Apple Doesn't Sell!,Snazzy Labs,1436233,26958,1217,"snazzy labs,quinn nelson,snazzyq,imac modification,fully loaded imac,diy imac,hackintosh vs imac,imac vs hackintosh,build a mac,imac cheap,best apple computer,best imac,best apple products,gaming on an imac,imac vs custom pc,2015 vs 2017 5k imac,2017,2017 imac,kaby lake imac,best mac apple doesn't sell,apple,most powerful mac,macbook pro vs imac,2017 imac review,ddr4,upgrade cpu,upgrade ram,upgrade ssd,imac pro,5k imac,imac,retina",534.0,0
r0_mi8ngNnM,What is 0 to the power of 0?,Eddie Woo,2546027,49766,1720,,862.0,1
9AVhwGKV2TE,integrale definito,luigia genoni,1161,6,1,,340.0,1
HUbi0z0msrk,THE MOST COMPLETE AND UPDATED ROSTER OF DRAGON BALL XENOVERSE 2 VERSION 1.09.04 (2000+ MODS),FNAV Producciones,573717,4421,581,,2140.0,0
kCQ4m-ui6yQ,Il Volo - L'amore si muove (Videoclip),IlVoloVEVO,35541196,160979,9516,"Il Volo Music,Il Volo Official Video,Il Volo Video,Il Volo Video Oficial,Il Volo Nuevo Video,Il Volo New Video,L'amore si muoveOfficial Video,Official Video,L'amore si muove Official Remix Video,L'amore si muove Single,Single,L'amore si muove Official Video,Il Volo New Single,Il Volo Single,Il Volo Song,L'amore si muove new song,L'amore si muove nueva canción,Il Volo nueva cancion,Il Volo sencillo,Il Volo nuevo sencillo,Il",298.0,0
WQpwcU8FTZk,Top 10 Yoshi's Island Speedrun Moments in Smash The Record 2015 - Trihex STR 2015 Highlights,KoiandDragon,198970,1646,47,"Super Smash Bros. Brawl (Video Game),Super Smash Bros. Melee (Video Game),Super Smash Bros. (Video Game Series),Super Smash Bros. (Video Game),Super Smash Bros. For Nintendo 3DS And Wii U (Video Game),smash the record 2015,best of smash the record 2015,best of smash the record,koianddragon,Super Mario World 2: Yoshi's Island (Video Game),Yoshi (Fictional Character),Speedrun (Website Category),trihex,trihex yoshi's island,trihex speedrun,grsmash top 10,grsmash",603.0,0
7QpJ_VDbIPA,MacBook Pro with TOUCHBAR Review,CaseyNeistat,5992210,145950,10832,,586.0,0
nlJ4WIj3j24,10 Signs  You’re Way More Intelligent Than You Realize,BRIGHT SIDE,12811208,197894,31568,"self-esteem,how to become confident,psychology tricks,self-respect,psychology,interesting facts,psychology of human behaviour,psychology facts,facts about people,psychological tricks,human nature,facts about human body,amazing facts,shocking facts,facts you never knew,brain power,body language,scientific facts,things you’ve never seen,unusual things",647.0,0
_pYfw-_KfIE,Teorema della media e teorema di Torricelli,Claudio Desiderio,13654,199,7,"Claudio Desiderio,Desiderio Claudio,Teorema della media,integrali definiti,Torricelli,teorema di Torricelli",990.0,1
joc5J-poAxg,GODLY BATTLE! Zeno VS All 12 Gods of Destruction - Dragon Ball Xenoverse 2 Mods,GOWBuuzer,1295222,9286,817,"dragon ball,dragonball z,GT,super,dragonball af,goku,vegeta,zell,freezer,frieza,cell,majin buu,baby,ssj blue,hack,mod,texture,PS4,xenoverse,PSP,tenkaichi tag team,GOWBuuzer,ssj5,gameplay,ps3,pc,download,trailer,shin budokai,PGV,gogeta,vegito,zamasu,goku black,ssj rose,beerus,bills,whis,vados,champa,hit,zeno,zeno-sama,episode,xenoverse 2,DLC,ssj4,budokai tenkaichi 3,daishinkan",290.0,0
ajTUqSXzZis,5 MacBook Upgrades from Amazon!,Dave Lee,931654,19994,1032,"Dave2D,dave lee,macbook pro,best macbook pro accessories,macbook pro accessories 2018,macbook,usb c,apple,laptop,notebook,best macbook accessories,macbook gadgets,macbook air accessories,apple imac accessories,best accessories for mac,xps,accessory,accessories",348.0,0
IiAVsYnHtwM,Vivo per lei con testo -Andrea Bocelli e Giorgia,Ile,11205785,36489,4063,"Andrea,Bocelli,Giorgia,Vivo,per,lei.",259.0,0
iBZaLPEhq04,Eros Ramazzotti - Un'Emozione Per Sempre,ErosRamazzottiVEVO,26819102,60409,3017,"Pop,Un'Emozione Per Sempre,Eros Ramazzotti,Sony,BMG,Music,Entertainment",235.0,0
Hnl4AyEO1I8,Mario & Luigi: Superstar Saga by altabiscuit in 1:29:28 - Summer Games Done Quick 2015 - Part 120,Games Done Quick,428429,2910,91,"AGDQ,Awesome Games Done Quick,Competition,GDQ,Game,Games Done Quick,Gaming,Mario,Metroid,Médecins Sans Frontières (Nonprofit Organization),Ocarina of Time,SDA,SGDQ,SRL,Speed Demos Archive,SpeedRunsLive,Speedrun,Summer Games Done Quick,Summer Games Done Quick 2015,Symphony of The Night,Twitch,Video Games,Zelda,eSport,eSports,speedrun,world records",6374.0,0
IUTGFQpKaPU,The Most Beautiful Equation in Math,Carnegie Mellon University,3889767,72790,2649,,230.0,1
8dOM8EHJoCE,Area segmento parabolico,Prof. Pica,1513,21,0,,263.0,1
bXsv_F0kfrs,New Macbook Air 2018 - Unboxing,LogicalBee,267129,1438,452,"Unboxing,Macbook air 2017,Macbook air Paytm,Apple macbook air unboxing,macbook air 2018,Apple macbook air 2018,Macbook Air 2018 - Unboxing,macbook air 2017 unboxing philippines,apple macbook air unboxing 2018,apple macbook air unboxing and review,apple macbook air 2018 review,macbook air 2017 review,macbook air 2017 gaming,macos high sierra bootable usb,New Macbook Air 2018,best laptop,macbook air vs macbook pro,hands on,new macbook air,apple macbook",296.0,0
PJjXnkd6bUQ,Eros Ramazzotti & Tina Turner - Cose Della Vita | VideoClip ᴴᴰ,congodfather,39178570,141826,4623,"eros,ramazzotti,tina,turner,hd,new,duet,cose,della,vita,cant,stop,thinking,of,you,HD,Rock Music,video clip,official,Tina Turner (Singer),Singing (Professional Field),New (song),Song,clip,NEW,cose della vita,Official VideoClip",298.0,0
aRdcptG365I,Most awkward moments at Minecon 2013,Crowbcat,5036223,67587,2483,"superkai64,notch,minecraft,cringe",496.0,0
No-T6NIytFE,A Teacher Changed My Life - Eddie Woo on SBS Insight,Eddie Woo,110291,1933,31,"math,maths,mathematics",284.0,0
GWM0elaag2s,maturità scientifica 2017 questionario quesito 1,Claudio Desiderio,1718,27,0,"Claudio,Desiderio,maturità scientifica 2017,quesito 1,integrali per parti",350.0,1
BxpFMrEAwqc,Cac Goku Transformations SSJ1-SSJ2-SSJ3-SSG-SSB-SSBK-SSBKx10-SSBKx20 and Ultra Instinct [XV2],Game Finisher,4006886,33960,2063,"dragon ball xenoverse 2,dragon ball super,dragon ball z,game finisher,Goku's New Form,Dragon Ball Z Transformations,Dragon Ball Xenoverse 2 Transformations,Ultra Instinct for Cac,Cac,Custom Transformations,Ultra Instinct Transformation for Cac,SSJ1-SSJ2-SSJ3-SSJ4-SSJ5-SSG-SSB-SSB Kaioken & Ultra Instinct,SSJ1-SSJK-SSJ3-SSG-SSB-SSB Kaioken & Ultra Instinct,Xeno Vegito Transformations,Dragon Ball Xenoverse 2 Custom Xeno Vegito Transformations,Cac Goku Transformations",388.0,0
4QrGdzYiNFY,The MacBook Pro Survival Kit [2018],MrMobile [Michael Fisher],650068,11395,503,"macbook 2018,dockcase review,hyperdrive macbook pro,anker powercore review,anker powercore 26800,microsoft arc mouse touch,rain design mstand 360,qwerkywriter,lofree,mrmobile,michael fisher,macbook accessories,macbook pro 2018,macbook pro 2017",418.0,0
mAZ-gT0Ip-0,Il Volo - Grande amore (ITALY) Eurovision 2015: GRAND FINAL,Marjan Andonov,3578651,20249,723,"Eurovision Song Contest 2015,Grande Amore,Il Volo (Musical Artist),Italy (Country),Norway,Eurovision Song Contest (Recurring Competition)",216.0,0
9_guNEfxTII,The Best Italian Songs !!,Ervin Jano,27215745,94614,10574,"Italia,italian,Italian songs,Italiano",5499.0,0
5O5EC06b-xg,Top 10 Saddest Moments In Speedrunning,gladJonas,701121,6158,738,"top 10 saddest moments in speedrunning,sad moments in speedrunning,speedrunning sad,speedrunning biblethump,speedrunning fail,speedrun sad moments,mikamihero,exarionu,benafar,linkus7,inthedarkness5,clintstevens,mr_zg,somewes,speedrun,compilation",657.0,0
W2sIvBq2iAk,"zero factorial, why 0! should be 1, 4 reasons",blackpenredpen,108307,2743,86,"zero factorial,why is 0! =1,0!=1,gamma function,pi function,power series,blackpenredpen,math for fun,0^0 convention,defintion of 0!,permutation of 0 things,power series for zero factorial,0 factorial,factoreo",778.0,1
AqcMAn10448,MATEMATICA - PRIMITIVE E INTEGRALI INDEFINITI,Gianna M. Farnocchia,9625,133,4,"matematica,Primitivi e indefiniti,abilatest,lezioni gratis,lezioni online,matematica 5 anno,matematica classe 5,lezioni matematica,matematica liceo scientifico,licei",545.0,1
QlSShPVcxfg,Dragon Ball Xenoverse 2 : Goku Transforms Into Ultra Instinct Complete Story DLC (Japanese Voices),DBZanto Z,1985375,17697,1295,"Dragon Ball Xenoverse 2 Art Box Cover,Dragon Ball Super,DLC,Xenoverse 2 Gameplay,XENOVERSE 2,DRAGON BALL FighterZ,Perfect Ultra Instinct Goku Xenoverse 2,Perfect Ultra Instinct Goku,Super Saiyan White,Master Ultra Instinct Transformation,Extra Pack 2 DLC,DLC Pack 6,Limit Breaker Goku,Dual Ultimate Attack,Xenoverse 2 Ultra Instinct Transformation,Dragon Ball Xenoverse 2 : Goku Transforms Into Ultra Instinct Complete Story DLC (Japanese Voices)",803.0,0
-zCsllWJ3A8,Review: 13-inch MacBook Pro (Without Touch Bar): Is it worth a look?,9to5Mac,1289704,7598,535,"9to5Mac,2016 MacBook Pro,2016 MacBook Pro Review,MacBook Pro Review,MacBook Pro with Function Keys,MacBook Pro with Two Thunderbolt ports,MacBook Pro Thunderbolt 3,MacBook Pro Wide Color,MacBook Pro worth it,Entry Level MacBook Pro,Should I buy a MacBook Pro,Is the MacBook Pro a rip off,2016 MacBook Pro Hands-on,New MacBook Pro Review,New MacBook Pro Unboxing,2016 MacBook Pro Unboxing",973.0,0
fK8LrzzC4-8,Marco Mengoni - Guerriero (Videoclip),MarcoMengoniVEVO,82085706,380836,19514,"Marco Mengoni,MarcoMengonivevo,vevo,official,video,music video,hq,single,album,Guerriero,Parole in circolo,pop,Pop,RCA Label Group/RLG,Marco Mengoni Guerriero",332.0,0
UojBaKX5Vz4,Eros Ramazzotti - La Cosa Mas Bella (Più Bella Cosa) (videoclip),ErosRamazzottiVEVO,227056746,526607,35739,"Eros Ramazzotti,ErosRamazzottivevo,vevo,official,video,music video,hq,single,album,La Cosa Mas Bella,Più Bella Cosa,La Cosa Mas Bella (Più Bella Cosa),Pop,Sony BMG Music Entertainment",266.0,0
Ev-QpxN8wPo,(4:57.260) Super Mario Bros. any% speedrun *Former World Record*,darbian,3592769,27645,1132,"twitch,games,Mario,Super Mario Bros,Speedrun",417.0,0
i5gxEhNDYls,Ali Nesin- 0! (Sıfır Faktöriyel) Neden 1'e Eşittir,Pisagor Matematik Evi,829023,18482,530,"belirsizlik,tanımsızlık,belirsiz,tanımsız,ali nesin,mustafa yağcı,haluk memili,pisagor matematik evi,nesin matematik köyü,nmk,matematik,geometri,derin matematik,kümeler kuramı,0!,sıfır faktöriyel,0 üzeri 0,sıfır üzeri sıfır,sıfırıncı kuvvet,lys,ygs,yöks,yks,teog,lise,ispat,matematiksel ispatlar,eğitim,öğretim,lisans dersleri,teog dersleri,özel ders,özel okul,özel üniversite,ders videoları,ortaöğretim matematik,lise matematik,teog matematik",559.0,1
NTe1FQY9gn0,"Integrali indefiniti (secondo step, goniometrici ed esponenziali)",Claudio Desiderio,13731,147,2,"integrali indefiniti,integrali goniometrici,integrali immediati,integrali di funzioni esponenziali,integrali con funzioni circolari inverse,flipped math,www.claudiodesiderio.wordpress.com",999.0,1
alQ1hlfNI_o,Corso sulle banche dati parte 01 - introduzione,Nicola Jelmorini,10750,48,5,"Linux,Ubuntu operating system,Libreoffice Base,Database",1300.0,1
YpcrlbmWgb8,How to Properly Wrap Your MacBook Power Cord to Avoid Damaged or Fraying,TheMacGuy,62390,559,20,"macbook,macbook air,macbook pro,Broken Power Cord,Avoid broken power cord,avoid broken macbook power cord,How to,properly wrap,the right way,to wrap,macbook power cord,macbook pro power cord,Mac,tip,tutorial,trick,tips,tricks,tutorials,steve the mac guy,stevethemacguy,mac guy,macguy,Apple,OS X (Operating System),Mac OS (Operating System),lost ipad recovery,ios,ios tip",175.0,0
igNgYtGYjys,Giusy Ferreri - Volevo te (Videoclip),GiusyFerreriVEVO,49365462,172001,10988,"Giusy Ferreri,GiusyFerrerivevo,vevo,official,video,music video,hq,single,album,Volevo te,Top Hits 2016,pop,Pop,RCA Records Label",170.0,0
NAx_gFh9BxY,107 Facts About Paper Mario! - Super Coin Crew,Super Coin Crew,420673,4153,235,"Super Mario Maker,Mario Maker,Super Coin Crew,107 Facts,Nintendo Facts,Let's Play,Let's-a-play,Super Mario,Super Mario Bros. (Video Game),Super Mario World (Video Game),New Super Mario Bros. U (Award-Winning Work),Nintendo,Let's Play Nintendo,Mario,107 Facts Nintendo,107 Facts About,Top 10,107,Facts,Tooned Up,You Didn't know,107 Facts about Paper Mario,107 mario,paper mario,nintendo 64,mario story,super mario maker,super paper mario,107 paper mario",1239.0,0
zyQtN7Zbi-c,An example that 0^0 does NOT approach 1,blackpenredpen,178746,2470,183,"0^0 is NOT 1,what's 0 to the 0 power,0^0,blackpenredpen,math for fun,calculus limit,interesting calculus problem,evaluating indeterminate form,l'hospital's rule,曹老師",471.0,1
8P13-6Qt89k,Teorema della Media,francesco petracca,2437,10,3,Teorema della Media,403.0,1
4NGlnpZfXII,Dragon Ball Xenoverse 3 - | FULL ROSTER | ALL CHARACTERS [CONCEPT] Xenoverse 2 Mods,GOWBuuzer,662265,7338,968,"dragon ball,DBZ,GT,super,AF,movie,OAV,episode,goku,vegeta,frieza,cell,majin buu,baby,gogeta,vegito,zamasu,goku black,ssj rose,beerus,bills,whis,vados,champa,hit,jiren,toppo,dyspo,zeno,zeno-sama,daishinkan,super saiyan,ssj,god,blue,kaioken,ultra instinct,limit breaker,PS4,PC,xenoverse 2,DLC,PSP,tenkaichi tag team,PS2,budokai tenkaichi 3,gameplay,trailer,hack,mod,texture,download,leaked",2662.0,0
7bL4dmUdddI,Top 5 MacBook Air Accessories  2017,Atomic Tech,102521,877,90,"MacBook,MacBook Air,Top 5,Top,Accessories,Cool,Tech,AirBar,OmniCharge,KickFlip,TarDisk,Odin Aurora",446.0,0
GfxzDd1wNxs,iPhone X Space Grey - Unboxing & Setup,Stefano Giove,843335,4827,698,"iphone,apple,iphone 10,iphone x,camera,speed,test,battery,unboxing,air pods,sticker,resistant,stainless,steel,scratch test,burn,bend,iphone 8,samsung,ipad,galaxy,s8,note 8,essential,phone,turn of,face id,works,ram,management,ios,ios 11,ios 12,11.1,bezel,11.2,glitch,bug,freeze,stefano,giove,product red,red,iPhone X red,cover,2018,iOS 12,iPhone xs,iPhone xr,iPad Pro 2018,xs max",289.0,0
E8xXtoIm76s,Top 5 Speedruns To Watch To Get Into Speedrunning (feat. Razbuten),Snoman Gaming,1193672,13497,512,"speedrun,speedruns,speedrunning,speed run,speed runs,speed running,top 5 speedruns,top 10 speedruns,top 10 speed runs,top 5 speed runs,best speed runs,best speedruns,cosmo,cosmo speedrun,cosmo speed run,f zero speedrun,f zero gx speed run,f zero gx speedrun,f zero speed run,super mario 64 speedrun,super mario 64 speed run,super mario world speedrun,super mario world speed run,video game speedrun,video game speed run,video game speedruns,agdq,sgdq",539.0,0
elvOZm0d4H0,Infinity is bigger than you think - Numberphile,Numberphile,6051793,73258,3511,"numberphile,number phile,number,numbers,maths,mathematics,mathematical,numerals,count,counting",480.0,1
cpCXLf9E1Ic,Integrali indefiniti (primo step),Claudio Desiderio,36382,520,12,"Claudio Desiderio,Desiderio Claudio,Integrali indefiniti,Integrali,Integrali immediati",1358.0,1
C3ddWloPyPA,Macbook Air Basics - Mac Manual Guide for Beginners - new to mac,Tech & Design,401323,2331,152,,1129.0,0
jFxtn_BQauk,Nek - Fatti avanti amore (Official Video) [Sanremo 2015],Warner Music Italy,23476265,123043,4204,"video,video ufficiale,official video,official,ufficiale,videoclip,Warner,Warner Music,Music,WMI,Warner Music Italia,Warner Music Italy,nuovo,new,nuovo singolo,singolo,nuovo video,album,nuovo album,ultimo singolo,ultimo album,nek,fatti avanti amore,sanremo,festival sanremo,festival di sanremo,sanremo 2015,san remo,Sanremo Music Festival (Recurring Event),filippo neviani,neviani,Sanremo Music Festival 2015",231.0,0
FNofmHUX81c,Yoshi's Island Glitched% by Carlsagan42 - AGDQ 2014,ScottyWZ,366625,4741,133,,744.0,0
uJ-c54cgDos,Scomposizioni con la regola di RUFFINI,Prof. Mario Antonuzzi,16229,341,13,"Geometria analitica,circonferenza,centro,diametro,raggio,parabola,direttrice,asse,fuoco,vertice,ellisse,iperbole,asintoto,asintoti,esponenziale,esponenziali,logaritmo,logaritmi,naturali,base,pura,spuria,spurie,monomie,pure,complete,ripasso,spiegazione,svolgimento,matematica,esercizi,scuola,salmo,sferaebasta,fedez,antonuzzi,frisina,lezione,lezioni,real,studenti,studente,alunni,alunno",2784.0,1
